Zeit;Kanal A;Kanal B
(ms);(mV);(mV)

-25,00958239;0,34940940;-156,11160000
-25,00458239;0,00000000;-151,77470000
-24,99958239;0,00000000;-156,11160000
-24,99458239;-0,34940940;-151,77470000
-24,98958239;-0,69881890;-147,43790000
-24,98458239;0,87352360;-151,77470000
-24,97958239;-0,34940940;-151,77470000
-24,97458239;-0,17470470;-151,77470000
-24,96958239;-0,34940940;-147,43790000
-24,96458239;0,00000000;-151,77470000
-24,95958239;0,69881890;-151,77470000
-24,95458239;0,00000000;-151,77470000
-24,94958239;-0,34940940;-147,43790000
-24,94458239;0,00000000;-151,77470000
-24,93958239;-0,34940940;-143,10100000
-24,93458239;0,69881890;-147,43790000
-24,92958239;0,87352360;-147,43790000
-24,92458239;0,87352360;-151,77470000
-24,91958239;0,34940940;-143,10100000
-24,91458239;0,87352360;-147,43790000
-24,90958239;0,52411410;-147,43790000
-24,90458239;0,17470470;-143,10100000
-24,89958239;0,52411410;-147,43790000
-24,89458239;0,34940940;-147,43790000
-24,88958239;0,17470470;-143,10100000
-24,88458239;1,04822800;-143,10100000
-24,87958239;1,04822800;-143,10100000
-24,87458239;1,39763800;-147,43790000
-24,86958239;0,69881890;-143,10100000
-24,86458239;0,52411410;-143,10100000
-24,85958239;0,69881890;-138,76410000
-24,85458239;0,00000000;-138,76410000
-24,84958239;0,52411410;-138,76410000
-24,84458239;0,00000000;-143,10100000
-24,83958239;0,17470470;-138,76410000
-24,83458239;0,17470470;-143,10100000
-24,82958239;0,52411410;-138,76410000
-24,82458239;0,52411410;-138,76410000
-24,81958239;-0,34940940;-138,76410000
-24,81458239;-0,52411410;-138,76410000
-24,80958239;0,00000000;-138,76410000
-24,80458239;0,17470470;-138,76410000
-24,79958239;0,00000000;-138,76410000
-24,79458239;-0,17470470;-138,76410000
-24,78958239;0,52411410;-138,76410000
-24,78458239;0,00000000;-138,76410000
-24,77958239;-1,04822800;-134,42730000
-24,77458239;0,52411410;-134,42730000
-24,76958239;0,17470470;-134,42730000
-24,76458239;0,34940940;-134,42730000
-24,75958239;-0,34940940;-130,09040000
-24,75458239;-0,52411410;-134,42730000
-24,74958239;0,00000000;-134,42730000
-24,74458239;0,17470470;-134,42730000
-24,73958239;-0,17470470;-130,09040000
-24,73458239;-0,34940940;-134,42730000
-24,72958239;0,00000000;-130,09040000
-24,72458239;0,52411410;-134,42730000
-24,71958239;0,00000000;-130,09040000
-24,71458239;0,34940940;-130,09040000
-24,70958239;0,00000000;-125,75360000
-24,70458239;-0,52411410;-125,75360000
-24,69958239;0,17470470;-125,75360000
-24,69458239;0,34940940;-125,75360000
-24,68958239;0,52411410;-130,09040000
-24,68458239;0,52411410;-125,75360000
-24,67958239;0,52411410;-125,75360000
-24,67458239;0,87352360;-125,75360000
-24,66958239;0,17470470;-125,75360000
-24,66458239;1,39763800;-130,09040000
-24,65958239;1,04822800;-125,75360000
-24,65458239;0,52411410;-125,75360000
-24,64958239;0,87352360;-125,75360000
-24,64458239;0,00000000;-130,09040000
-24,63958239;0,52411410;-121,41670000
-24,63458239;0,87352360;-121,41670000
-24,62958239;0,00000000;-121,41670000
-24,62458239;0,17470470;-121,41670000
-24,61958239;0,17470470;-121,41670000
-24,61458240;0,52411410;-125,75360000
-24,60958240;0,87352360;-121,41670000
-24,60458240;0,69881890;-121,41670000
-24,59958240;0,52411410;-121,41670000
-24,59458240;-0,17470470;-117,07980000
-24,58958240;0,69881890;-117,07980000
-24,58458240;0,34940940;-117,07980000
-24,57958240;0,87352360;-117,07980000
-24,57458240;0,52411410;-117,07980000
-24,56958240;-0,17470470;-117,07980000
-24,56458240;0,69881890;-117,07980000
-24,55958240;0,17470470;-112,74300000
-24,55458240;0,87352360;-117,07980000
-24,54958240;0,87352360;-117,07980000
-24,54458240;0,69881890;-112,74300000
-24,53958240;0,52411410;-112,74300000
-24,53458240;0,52411410;-112,74300000
-24,52958240;0,52411410;-112,74300000
-24,52458240;2,09645700;-117,07980000
-24,51958240;0,17470470;-112,74300000
-24,51458240;0,34940940;-112,74300000
-24,50958240;0,17470470;-112,74300000
-24,50458240;1,04822800;-117,07980000
-24,49958240;1,04822800;-112,74300000
-24,49458240;1,39763800;-112,74300000
-24,48958240;0,52411410;-108,40610000
-24,48458240;0,34940940;-108,40610000
-24,47958240;0,87352360;-108,40610000
-24,47458240;0,17470470;-108,40610000
-24,46958240;0,52411410;-108,40610000
-24,46458240;0,69881890;-108,40610000
-24,45958240;0,34940940;-108,40610000
-24,45458240;0,52411410;-108,40610000
-24,44958240;0,34940940;-104,06930000
-24,44458240;0,87352360;-104,06930000
-24,43958240;0,00000000;-99,73240000
-24,43458240;-0,17470470;-104,06930000
-24,42958240;0,34940940;-104,06930000
-24,42458240;0,00000000;-104,06930000
-24,41958240;0,69881890;-99,73240000
-24,41458240;0,00000000;-99,73240000
-24,40958240;-0,52411410;-99,73240000
-24,40458240;0,52411410;-104,06930000
-24,39958240;0,52411410;-99,73240000
-24,39458240;0,00000000;-99,73240000
-24,38958240;0,17470470;-99,73240000
-24,38458240;-0,17470470;-99,73240000
-24,37958240;-0,87352360;-95,39554000
-24,37458240;-0,69881890;-95,39554000
-24,36958240;0,52411410;-95,39554000
-24,36458240;0,00000000;-95,39554000
-24,35958240;0,52411410;-95,39554000
-24,35458240;0,17470470;-95,39554000
-24,34958240;0,17470470;-99,73240000
-24,34458240;0,52411410;-95,39554000
-24,33958240;-0,34940940;-95,39554000
-24,33458240;0,00000000;-95,39554000
-24,32958240;0,00000000;-91,05868000
-24,32458240;-0,34940940;-91,05868000
-24,31958240;0,17470470;-91,05868000
-24,31458240;0,00000000;-91,05868000
-24,30958240;0,00000000;-91,05868000
-24,30458240;1,04822800;-95,39554000
-24,29958240;-0,87352360;-91,05868000
-24,29458240;0,00000000;-91,05868000
-24,28958240;0,52411410;-91,05868000
-24,28458240;0,17470470;-86,72182000
-24,27958240;0,87352360;-86,72182000
-24,27458240;0,17470470;-86,72182000
-24,26958240;0,17470470;-86,72182000
-24,26458240;0,69881890;-86,72182000
-24,25958240;0,17470470;-86,72182000
-24,25458240;0,52411410;-86,72182000
